ID,Research Paper ID,Tweet,Research Paper Intensity,Researcher 1 Classified Emotion,Researcher 1 Classified Intensity,Researcher 2 Classified Emotion,Researcher 2 Classified Intensity,Participant 1 Classified Emotion,Participant 1 Classified Intensity,Participant 2 Classified Emotion,Participant 2 Classified Intensity,Participant 3 Classified Emotion,Participant 3 Classified Intensity,Participant 4 Classified Emotion,Participant 4 Classified Intensity,Participant 5 Classified Emotion,Participant 5 Classified Intensity,Participant 6 Classified Emotion,Participant 6 Classified Intensity
0,,Depression sucks! #depression,0.958,depressed,3,,,,,,,depressed,5,Displeased,2,depressed,4,depressed,2
1,,Feeling worthless as always #depression,0.958,depressed,4,,,,,,,hurt,4,Displeased,1,depressed,5,depressed,2
2,,Feeling worthless as always,0.958,depressed,4,,,,,,,hurt,4,Displeased,3,depressed,5,depressed,2
3,,Im think ima lay in bed all day and sulk. Life is hitting me to hard rn,0.934,depressed,5,,,,,,,displeased,2,Depressed,4,depressed,4,depressed,4
4,,So when I try I fail... and when I don't try... I still fail... #confused and #lost,0.917,depressed,4,,,,,,,displeased,3,Depressed,5,displeased,4,hurt,4
5,,my life in one word is depressing,0.917,depressed,3,,,,,,,depressed,4,Displeased,3,depressed,4,depressed,3
6,,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,0.917,depressed,5,,,,,,,depressed,3,Lonely,4,depressed,5,depressed,4
7,,Feel so grim + ugly atm,0.896,displeased,2,,,,,,,displeased,2,Depressed,4,displeased,3,displeased,2
8,,Honestly depression is kicking my ass lately..,0.896,depressed,5,,,,,,,depressed,3,Lonely,3,depressed,4,depressed,4
9,,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,0.896,depressed,3,,,,,,,displeased,2,Depressed,4,depressed,5,displeased,3
10,,"After 3 idk why I start feeling so depress, sad and lonely.",0.896,depressed,3,,,,,,,lonely,3,Depressed,3,lonely,4,lonely,3
11,,I sulk too much for my own good.,0.896,depressed,3,,,,,,,displeased,4,Lonely,2,displeased,4,displeased,4
12,,A night where depression is winning... #depression #fml #help,0.896,depressed,3,,,,,,,depressed,4,Depressed,5,depressed,5,depressed,5
13,,Going home is depressing,0.896,depressed,2,,,,,,,depressed,2,Lonely,3,depressed,3,lonely,4
14,,We can't even grieve over one black body before another one pops up due to pig brutality,0.892,displeased,4,,,,,,,grief,3,Grief,3,grief,3,grief,3
15,,It's a gloomy ass day,0.888,depressed,3,,,,,,,displeased,1,Depressed,4,depressed,2,lonely,3
16,,@Fra93_bruno wow I'm just really sadden by that. Terrible,0.875,depressed,3,,,,,,,displeased,3,Displeased,3,depressed,1,hurt,4
